time_ms,power_pct,weight_g,flow_gps,pressure_bar
43051,30,-2.70,0.000,5.70
43481,30,-2.70,0.000,5.25
43586,30,-2.70,0.000,4.81
43691,30,-2.70,0.000,4.37
43796,30,-1.80,2.143,3.93
43901,30,0.60,7.321,3.49
44006,30,0.50,5.253,3.05
44201,30,0.50,2.955,2.19
44306,30,0.30,1.740,1.85
44411,30,0.40,1.543,1.47
44516,30,0.40,1.157,1.28
44711,30,0.50,0.857,1.00
44816,30,0.40,0.405,0.90
44921,30,0.40,0.303,0.88
45026,30,0.40,0.228,0.86
45131,30,0.40,0.171,0.79
45236,30,0.40,0.128,0.73
45431,30,0.40,0.072,0.65
45536,30,0.40,0.054,0.62
45701,30,0.50,0.192,0.59
45836,30,0.60,0.329,0.59
46001,30,0.40,0.000,0.74
46106,30,0.50,0.238,0.86
46211,30,0.60,0.417,0.76
46406,30,0.50,0.000,0.69
46511,30,0.50,0.000,0.63
46706,30,0.60,0.208,0.60
46811,30,0.60,0.156,0.57
46916,30,0.50,0.000,0.55
47111,30,0.60,0.238,0.54
47216,30,0.60,0.179,0.53
47411,30,0.60,0.100,0.55
47516,30,0.60,0.075,0.75
47621,30,0.60,0.057,0.70
47816,30,0.70,0.270,0.74
47921,30,0.60,0.000,0.74
48116,30,0.60,0.000,0.90
48221,30,0.60,0.000,1.02
48326,30,0.60,0.000,1.06
48431,30,0.60,0.000,1.13
48626,30,0.60,0.000,1.13
48836,30,0.60,0.000,1.69
48941,30,0.60,0.000,1.92
49046,30,0.50,0.000,1.64
49226,30,0.50,0.000,1.24
49331,30,0.50,0.000,1.38
49526,30,1.00,1.190,1.13
49631,30,0.70,0.179,1.34
49736,30,0.50,0.000,1.18
49841,30,0.90,0.952,1.04
50036,30,0.90,0.721,0.89
50141,30,0.80,0.303,0.81
50246,30,1.00,0.703,0.75
50351,30,1.10,0.766,0.71
50456,30,1.10,0.574,0.66
50651,30,1.20,0.531,0.68
50756,30,1.30,0.637,0.78
50861,30,1.30,0.477,0.73
50966,30,1.40,0.596,0.74
51071,30,1.30,0.209,1.11
51266,30,1.10,0.000,1.25
51371,30,0.90,0.000,1.46
51476,30,0.70,0.000,1.38
51671,30,0.60,0.000,3.62
51776,30,0.70,0.238,4.64
51881,30,0.80,0.417,5.91
52046,30,0.80,0.312,5.60
52151,30,0.40,0.000,5.16
52346,30,0.90,1.101,4.45
52451,30,0.70,0.350,4.00
52556,30,0.90,0.738,3.79
52751,30,0.90,0.445,3.41
52856,30,0.90,0.334,3.25
53051,30,1.00,0.426,3.15
53156,30,1.10,0.558,3.37
53261,30,0.70,0.000,3.29
53456,30,0.90,0.446,3.46
53561,30,0.80,0.097,3.54
53756,30,0.80,0.025,3.77
53861,30,0.70,0.000,4.03
53966,30,0.60,0.000,4.20
54161,30,0.60,0.000,4.57
54266,30,0.60,0.000,4.71
54371,30,0.60,0.000,4.92
54566,30,0.60,0.000,4.87
54671,30,0.60,0.000,4.87
54776,30,0.60,0.000,4.93
54911,30,0.60,0.000,4.78
96052,40,0.20,0.000,4.40
96461,40,0.20,0.000,4.42
96656,40,0.20,0.000,5.22
96761,40,0.10,0.000,4.56
96866,40,0.20,0.238,4.12
96971,40,0.40,0.655,3.68
97167,40,0.20,0.236,2.79
97376,40,0.20,0.417,2.19
97481,40,0.40,0.789,1.94
97586,40,0.20,0.115,1.72
97766,40,0.30,0.225,1.42
97871,40,0.20,0.000,1.38
98066,40,0.30,0.179,1.23
98171,40,0.40,0.372,1.12
98276,40,0.50,0.517,1.08
98381,40,0.20,0.000,1.07
98576,40,0.40,0.476,1.03
98681,40,0.30,0.119,1.02
98786,40,0.20,0.000,1.02
98891,40,0.50,0.714,1.21
98996,40,0.50,0.536,1.15
99191,40,0.10,0.476,1.14
99296,40,0.20,0.595,1.15
99401,40,0.00,0.000,1.17
99506,40,0.30,0.714,1.27
99611,40,0.60,1.250,1.27
99716,40,0.20,0.000,1.33
99911,40,0.30,0.476,1.32
100016,40,0.10,0.000,1.30
100181,40,0.10,0.000,1.30
100316,40,0.10,0.000,1.46
100421,40,0.10,0.000,1.46
100586,40,0.10,0.000,1.65
100691,40,0.10,0.000,1.59
100886,40,0.10,0.476,1.66
100991,40,0.20,0.595,1.81
101186,40,0.20,0.305,1.80
101291,40,0.30,0.467,1.94
101396,40,0.30,0.350,2.18
101591,40,0.50,0.643,2.18
101696,40,0.40,0.244,2.25
101891,40,0.60,0.524,2.62
101996,40,0.70,0.631,2.53
102101,40,0.80,0.712,2.60
102296,40,1.00,0.952,2.71
102401,40,1.10,0.952,2.94
102596,40,1.10,0.536,3.34
102701,40,1.30,0.878,3.24
102806,40,1.60,1.373,3.32
103001,40,1.50,0.594,4.64
