[PROFILE] Starting profiling sequence...
[PROFILE] Press button to start first test at 30%
[PROFILE] Recording started at 30% power (11469 ms)
11469,30,0.80,0.000,3.13
11876,30,0.70,0.000,2.30
11981,30,0.80,0.238,2.44
12086,30,0.70,0.000,1.87
12191,30,0.70,0.000,0.06
12296,30,-0.70,0.000,0.31
12401,30,-1.90,0.000,0.43
12596,30,-3.60,0.000,0.51
12701,30,-3.40,0.476,0.83
12806,30,-3.20,0.833,0.22
12911,30,-3.30,0.387,0.70
13016,30,-3.30,0.290,0.34
13211,30,-3.20,0.372,0.25
13316,30,-3.50,0.000,0.50
13421,30,-3.50,0.000,0.22
13526,30,-3.50,0.000,0.99
13721,30,-3.30,0.256,0.26
13826,30,-3.50,0.000,0.60
13931,30,-3.40,0.238,0.48
14096,30,-3.60,0.000,0.49
14231,30,-3.60,0.000,0.46
14396,30,-3.90,0.000,0.89
14501,30,-3.80,0.238,1.03
14606,30,-3.90,0.000,0.70
14801,30,-3.90,0.000,0.61
14906,30,-3.90,0.000,1.25
15101,30,-4.10,0.000,0.97
15206,30,-3.80,0.714,0.68
15311,30,-4.19,0.000,0.93
15506,30,-4.00,0.426,0.92
15611,30,-4.19,0.000,1.25
15806,30,-4.30,0.000,1.06
15911,30,-4.10,0.476,1.07
16016,30,-3.90,0.833,0.75
16211,30,-3.80,1.190,1.13
16316,30,-4.10,0.179,1.06
16511,30,-3.80,0.696,1.39
16616,30,-2.90,2.665,1.41
16721,30,-3.10,1.522,2.06
16826,30,-3.00,1.380,2.22
17021,30,-3.00,0.836,3.05
17231,30,-2.70,1.095,2.00
17336,30,-2.80,0.583,1.78
17441,30,-2.70,0.675,2.74
17621,30,-1.90,1.618,0.81
17726,30,-2.20,0.499,2.26
17921,30,-2.00,0.697,1.34
18026,30,-1.80,0.999,3.04
18131,30,-1.60,1.226,3.55
18236,30,-2.80,0.000,0.08
18341,30,-2.09,1.690,2.07
18536,30,-2.90,0.000,1.95
18642,30,-3.00,0.000,1.89
18746,30,-3.10,0.000,0.74
18851,30,-2.60,1.190,2.34
18956,30,-2.20,1.845,2.97
19151,30,-2.40,0.529,2.93
19256,30,-2.60,0.000,2.95
19361,30,-2.40,0.476,3.16
19466,30,-3.10,0.000,3.43
19661,30,-2.80,0.652,3.79
19766,30,-3.10,0.000,3.81
19871,30,-3.30,0.000,2.25
20036,30,-3.10,0.303,3.78
20171,30,-3.50,0.000,4.46
20276,30,-3.70,0.000,4.49
20441,30,-3.60,0.152,5.02
20546,30,-3.40,0.590,4.94
20741,30,-3.70,0.000,5.29
20846,30,-3.80,0.000,5.55
20951,30,-3.80,0.000,5.16
21146,30,-4.10,0.214,3.95
21251,30,-3.70,1.113,5.33
21446,30,-3.90,0.239,5.30
21551,30,-4.00,0.000,5.09
21656,30,-4.00,0.000,3.83
21851,30,-4.00,0.000,5.70
21956,30,-3.90,0.238,4.29
22151,30,-4.00,0.000,4.03
22256,30,-4.00,0.000,5.26
22361,30,-4.19,0.000,5.32
22556,30,-4.00,0.366,5.33
22661,30,-4.00,0.275,4.20
22766,30,-3.50,1.396,5.26
22961,30,-4.30,0.000,4.00
23066,30,-4.60,0.000,5.35
23171,30,-4.40,0.476,5.44
23276,30,-3.90,1.548,5.15
23381,30,-4.10,0.685,5.24
[PROFILE] Recording ended at 30% power (23469 ms)
[PROFILE] Next power level: 40%
[PROFILE] Recording started at 40% power (64470 ms)
64470,40,6.10,0.575,4.29
64856,40,6.00,0.367,3.95
65051,40,6.00,0.206,4.25
65156,40,6.00,0.155,1.07
65261,40,5.40,0.000,0.00
65366,40,2.80,0.000,0.00
65561,40,-2.70,0.000,0.30
65771,40,-2.90,1.250,0.53
65876,40,-3.80,0.000,0.91
65981,40,-3.30,1.190,0.55
66161,40,-3.40,0.754,0.37
66266,40,-3.10,1.280,0.62
66461,40,-3.40,0.476,0.89
66566,40,-3.20,0.833,0.50
66671,40,-3.70,0.000,0.62
66776,40,-3.70,0.000,0.13
66881,40,-4.30,0.000,1.76
67076,40,-3.70,1.310,0.82
67181,40,-4.00,0.268,0.49
67286,40,-3.90,0.439,1.03
67391,40,-4.00,0.091,0.67
67496,40,-4.10,0.000,0.89
67691,40,-2.40,3.839,1.92
67796,40,-3.20,0.975,0.67
67901,40,-4.00,0.000,2.57
68006,40,-4.10,0.000,0.86
68201,40,-4.00,0.030,2.46
68306,40,-3.60,0.975,1.05
68411,40,-4.19,0.000,2.94
68576,40,-4.19,0.000,1.09
68711,40,-4.69,0.000,3.58
68816,40,-4.10,1.405,1.65
68981,40,-3.40,2.114,1.81
69086,40,-3.80,0.633,1.52
69281,40,-3.30,1.309,2.35
69386,40,-3.60,0.267,4.99
69491,40,-4.10,0.000,4.66
69686,40,-2.50,3.750,7.37
69791,40,-1.30,5.670,2.79
69986,40,-0.10,5.927,6.06
70091,40,-0.10,4.445,1.79
70196,40,0.00,3.572,3.84
70391,40,0.50,3.230,1.97
70496,40,1.10,3.851,3.97
70691,40,-1.10,0.000,2.57
70796,40,-2.60,0.000,4.28
70901,40,-2.90,0.000,3.24
71096,40,-3.60,0.000,3.59
71201,40,-3.60,0.000,4.44
71306,40,-3.60,0.000,5.12
71501,40,-3.50,0.208,5.59
71606,40,-3.60,0.000,4.81
71711,40,-4.00,0.000,5.01
71816,40,-3.90,0.238,6.35
71921,40,-3.80,0.417,5.07
72101,40,-3.10,1.285,5.04
72206,40,-3.60,0.000,4.82
72326,40,-3.40,0.417,4.58
72506,40,-3.20,0.590,4.70
