time_ms,power_pct,weight_g,flow_gps,pressure_bar
396162,1,0.00,0.000,5.61
396526,1,0.00,0.000,5.62
396631,1,0.00,0.000,5.60
396736,1,0.00,0.000,5.60
396841,1,0.00,0.000,1.81
397036,1,0.00,0.000,0.74
397141,1,0.00,0.000,0.64
397246,1,0.00,0.000,0.59
397441,1,0.00,0.238,0.57
397546,1,0.00,0.179,0.60
397651,1,0.00,0.134,0.61
397846,1,0.00,0.075,0.59
398056,1,0.00,0.042,0.60
398161,1,0.00,0.032,0.59
398266,1,0.00,0.024,0.59
398446,1,0.00,0.018,0.59
398551,1,0.00,0.013,0.60
398746,1,0.00,0.008,0.59
398851,1,0.00,0.006,0.60
398956,1,0.00,0.004,0.59
399061,1,0.00,0.003,0.62
399166,1,0.00,0.002,0.62
399361,1,0.00,0.001,0.62
399465,1,0.00,0.001,0.62
399571,1,0.00,0.001,0.59
399676,1,0.00,0.001,0.59
399781,1,0.00,0.000,0.59
399976,1,0.00,0.000,0.59
400081,1,0.00,0.000,0.61
400186,1,0.00,0.000,0.59
400291,1,0.00,0.000,0.59
400486,1,0.00,0.000,0.60
400591,1,0.00,0.000,0.60
400696,1,0.00,0.000,0.59
400861,1,0.00,0.000,0.62
400996,1,0.00,0.000,0.58
401101,1,0.00,0.000,0.59
401266,1,0.00,0.000,0.60
401371,1,0.00,0.000,0.61
401566,1,0.00,0.000,0.59
401670,1,0.00,0.000,0.62
401776,1,0.00,0.000,0.61
401971,1,0.00,0.000,0.62
402076,1,0.00,0.000,0.60
402271,1,0.00,0.000,0.64
402376,1,0.00,0.000,0.61
402481,1,0.00,0.000,0.62
402676,1,0.10,0.476,0.62
402781,1,0.00,0.119,0.61
402976,1,0.00,0.067,0.60
403081,1,0.00,0.050,0.61
403186,1,0.00,0.038,0.62
403381,1,0.00,0.021,0.59
403486,1,0.00,0.016,0.59
403591,1,0.00,0.012,0.55
403786,1,0.00,0.007,0.60
403891,1,0.00,0.005,0.59
403996,1,0.00,0.004,0.59
404101,1,0.00,0.003,0.60
404206,1,0.00,0.002,0.60
404386,1,0.00,0.002,0.60
404491,1,0.10,0.239,0.59
404611,1,-0.10,0.000,0.58
404791,1,0.00,0.139,0.59
404896,1,0.00,0.104,0.59
405001,1,0.00,0.078,0.60
405106,1,0.00,0.059,0.58
405301,1,0.00,0.033,0.58
405406,1,0.00,0.025,0.59
405511,1,0.00,0.019,0.62
405615,1,0.00,0.014,0.60
405811,1,0.00,0.008,0.60
405916,1,0.00,0.006,0.61
406020,1,0.00,0.004,0.59
406126,1,0.00,0.003,0.59
406231,1,0.00,0.002,0.60
406426,1,0.00,0.001,0.58
406531,1,0.00,0.001,0.59
406636,1,0.00,0.001,0.59
406741,1,0.00,0.001,0.59
406936,1,0.00,0.000,0.60
407041,1,0.00,0.000,0.58
407206,1,0.00,0.000,0.62
407311,1,0.00,0.000,0.60
407416,1,0.00,0.000,0.62
407611,1,0.00,0.000,0.59
407716,1,0.00,0.000,0.58
407911,1,0.00,0.000,0.59
408016,1,0.00,0.000,0.59
408121,1,0.00,0.000,0.60
411163,2,0.00,0.000,0.81
411555,2,0.00,0.000,0.76
411751,2,0.00,0.000,0.80
411856,2,0.00,0.000,0.58
411961,2,0.00,0.000,0.46
412065,2,0.00,0.000,0.32
412171,2,0.00,0.000,0.32
412365,2,0.00,0.000,0.31
412576,2,0.00,0.000,0.30
412681,2,0.00,0.000,0.33
412876,2,0.00,0.000,0.31
412981,2,0.00,0.000,0.34
413145,2,0.00,0.000,0.31
413251,2,0.00,0.000,0.31
413386,2,0.00,0.000,0.31
413551,2,0.00,0.000,0.36
413656,2,0.00,0.000,0.28
413851,2,0.00,0.000,0.17
413956,2,0.00,0.000,0.19
414061,2,0.00,0.000,0.32
414256,2,0.00,0.000,0.35
414361,2,0.00,0.000,0.32
414556,2,0.00,0.000,0.31
414661,2,0.00,0.000,0.31
414765,2,0.00,0.000,0.35
414961,2,0.00,0.000,0.34
415065,2,0.00,0.000,0.34
415171,2,0.00,0.000,0.32
415276,2,0.00,0.000,0.32
415471,2,0.00,0.000,0.35
415665,2,0.00,0.000,0.34
415771,2,0.00,0.000,0.36
415891,2,0.00,0.000,0.32
416071,2,0.00,0.000,0.32
416191,2,0.00,0.000,0.33
