[PROFILE] Starting profiling sequence...
[PROFILE] Press button to start first test at 30%
[PROFILE] Recording started at 10% power (287927 ms)
287927,10,19.40,0.135,6.36
288406,10,19.40,0.101,6.37
288586,10,19.40,0.076,0.00
288796,10,19.40,0.043,0.00
288901,10,19.40,0.032,0.73
289066,10,19.40,0.024,0.83
289171,10,19.40,0.018,1.14
289276,10,19.40,0.014,0.00
289396,10,19.40,0.010,3.06
289576,10,19.40,0.008,0.00
289681,10,19.40,0.006,0.86
289786,10,19.40,0.004,0.97
289890,10,19.40,0.003,2.77
290086,10,19.40,0.002,1.00
290191,10,19.40,0.001,3.44
290296,10,19.40,0.001,0.93
290401,10,19.40,0.001,0.55
290595,10,19.40,0.000,1.17
290701,10,19.40,0.000,2.89
290806,10,19.40,0.000,1.05
290911,10,19.40,0.000,0.60
291016,10,19.40,0.000,1.10
291211,10,19.40,0.000,3.60
291316,10,19.40,0.000,1.20
291421,10,19.40,0.000,0.92
291526,10,19.40,0.000,1.19
291721,10,19.40,0.000,3.14
291826,10,19.40,0.000,1.33
292006,10,19.40,0.000,0.00
292245,10,19.40,0.000,1.23
292396,10,19.40,0.000,1.21
292500,10,19.40,0.000,3.19
292696,10,19.40,0.000,1.44
292801,10,19.40,0.000,1.36
292906,10,19.40,0.000,1.46
293116,10,19.60,0.417,1.59
293296,10,19.60,0.234,0.78
293401,10,19.60,0.176,1.72
293506,10,19.60,0.132,1.97
293611,10,19.60,0.099,1.68
293806,10,19.60,0.056,1.45
293911,10,19.60,0.042,1.79
294106,10,19.60,0.023,1.84
294211,10,19.60,0.018,1.86
294316,10,19.60,0.013,0.92
294526,10,19.60,0.007,1.84
294721,10,19.60,0.004,2.05
294826,10,19.60,0.003,1.36
294931,10,19.60,0.002,2.14
295036,10,19.60,0.002,2.20
295216,10,19.60,0.001,2.26
295335,10,19.60,0.001,2.33
295516,10,19.60,0.001,2.42
295621,10,19.60,0.001,1.07
295726,10,19.60,0.000,2.45
295921,10,19.60,0.000,2.50
296026,10,19.70,0.238,2.54
296131,10,19.79,0.393,1.66
296236,10,19.79,0.295,1.55
296341,10,20.00,0.721,2.78
296536,10,19.79,0.214,2.79
296641,10,19.79,0.161,2.95
296746,10,19.79,0.121,2.84
296851,10,19.79,0.090,2.97
296956,10,19.79,0.068,3.13
297151,10,19.79,0.038,3.25
297256,10,19.79,0.029,4.20
297361,10,20.00,0.521,3.21
297466,10,20.00,0.391,3.07
297661,10,20.00,0.293,3.34
297766,10,20.00,0.220,3.35
297871,10,20.00,0.165,2.50
298036,10,20.00,0.124,3.44
298171,10,20.00,0.093,3.59
298336,10,20.00,0.070,4.65
298441,10,20.20,0.528,3.73
298636,10,20.20,0.297,5.24
298741,10,20.20,0.223,3.89
298846,10,20.20,0.167,4.09
299041,10,20.20,0.094,4.05
299146,10,20.20,0.071,4.71
299341,10,20.40,0.461,4.26
299446,10,20.40,0.346,4.13
299551,10,20.40,0.259,4.18
299746,10,20.40,0.146,4.19
299881,10,20.60,0.480,4.25
[PROFILE] Recording ended at 10% power (299927 ms)
[PROFILE] Next power level: 15%
[PROFILE] Recording started at 15% power (302928 ms)
302928,15,21.00,0.393,6.43
303301,15,21.00,0.294,6.54
303406,15,21.00,0.221,6.58
303601,15,21.00,0.124,1.56
303706,15,21.00,0.093,0.74
303811,15,21.00,0.070,0.62
303976,15,21.00,0.052,0.80
304111,15,21.00,0.039,1.09
304276,15,21.00,0.029,0.84
304381,15,21.00,0.022,0.43
304486,15,21.00,0.017,0.98
304681,15,21.00,0.009,1.02
304786,15,21.00,0.007,1.14
304981,15,21.00,0.004,1.17
305085,15,21.00,0.003,1.29
305206,15,21.00,0.002,1.55
305386,15,21.00,0.002,1.24
305491,15,21.00,0.001,3.46
305686,15,21.00,0.001,1.86
305791,15,21.00,0.001,0.00
305896,15,21.00,0.000,1.48
306091,15,21.00,0.000,0.58
306195,15,21.00,0.000,1.70
306301,15,21.00,0.000,3.22
306495,15,21.00,0.000,2.11
306601,15,21.00,0.000,1.55
306705,15,21.00,0.000,2.01
306826,15,21.00,0.000,2.32
306991,15,21.00,0.000,2.35
307126,15,21.00,0.000,2.25
307321,15,21.00,0.000,2.54
307501,15,21.00,0.000,0.74
307606,15,21.00,0.000,2.78
307801,15,21.00,0.000,2.93
307905,15,21.20,0.481,2.91
308011,15,21.20,0.361,0.70
308221,15,21.20,0.203,3.44
308416,15,21.20,0.114,3.20
308521,15,21.20,0.086,0.88
308716,15,21.20,0.048,4.19
308926,15,21.20,0.027,4.14
309030,15,21.20,0.020,5.56
309136,15,21.20,0.015,5.56
309241,15,21.40,0.488,4.21
309346,15,21.40,0.366,4.44
309541,15,21.40,0.206,4.27
309646,15,21.40,0.154,4.40
309751,15,21.40,0.116,4.54
309916,15,21.60,0.390,4.59
310051,15,21.60,0.292,4.59
310156,15,21.60,0.219,4.82
310321,15,21.80,0.467,4.92
310426,15,21.80,0.351,3.31
310531,15,21.80,0.263,5.08
310726,15,21.80,0.148,2.49
310830,15,22.00,0.592,5.47
311026,15,22.00,0.305,5.53
311131,15,22.10,0.467,5.53
311236,15,22.10,0.350,5.53
311431,15,22.20,0.376,5.20
311536,15,22.20,0.282,5.11
311731,15,22.50,0.813,5.28
311836,15,22.50,0.610,6.27
312031,15,22.70,0.819,2.42
312136,15,22.70,0.614,5.48
312241,15,22.70,0.461,4.92
312436,15,23.00,0.944,6.25
312541,15,22.90,0.470,5.07
312646,15,23.00,0.590,5.02
