time_ms,power_pct,weight_g,flow_gps,pressure_bar
197493,10,0.00,0.000,2.83
197956,10,0.00,0.000,2.87
198136,10,0.00,0.000,2.86
198271,10,0.00,0.000,0.82
198436,10,0.00,0.000,0.39
198541,10,0.00,0.000,0.17
198646,10,0.00,0.000,0.53
198751,10,0.00,0.000,0.58
198946,10,0.00,0.000,0.58
199050,10,0.00,0.000,0.50
199156,10,0.00,0.000,1.41
199261,10,0.00,0.000,0.67
199456,10,0.00,0.000,1.81
199561,10,0.00,0.000,0.63
199666,10,0.00,0.000,0.87
199771,10,0.00,0.000,0.74
199891,10,0.00,0.000,0.28
200071,10,0.00,0.000,0.62
200176,10,0.00,0.000,0.50
200281,10,0.00,0.000,0.77
200386,10,0.00,0.000,0.28
200581,10,0.00,0.000,0.62
200686,10,0.00,0.000,0.90
200791,10,0.00,0.000,0.80
201001,10,0.00,0.000,0.38
201151,10,0.00,0.000,1.39
201256,10,0.00,0.000,2.44
201361,10,0.00,0.000,1.04
201466,10,0.00,0.000,0.35
201691,10,0.00,0.000,0.75
201855,10,0.00,0.000,0.94
201961,10,0.00,0.000,1.79
202066,10,0.00,0.000,0.96
202171,10,0.00,0.000,0.72
202366,10,0.00,0.000,1.07
202471,10,0.00,0.000,2.05
202666,10,0.00,0.000,1.09
202771,10,0.00,0.000,0.20
202876,10,0.00,0.000,1.09
203071,10,0.00,0.000,0.00
203176,10,0.00,0.000,1.15
203371,10,0.00,0.000,1.14
203476,10,0.00,0.000,1.25
203581,10,0.00,0.000,0.00
203686,10,0.00,0.000,1.12
203895,10,0.00,0.000,2.54
204076,10,0.00,0.000,0.22
204196,10,0.00,0.000,1.24
204301,10,0.00,0.000,1.29
204481,10,0.00,0.000,1.46
204586,10,0.00,0.000,0.27
204781,10,0.00,0.000,1.38
204886,10,0.00,0.000,4.33
204990,10,0.00,0.000,1.71
205096,10,0.00,0.000,0.38
205201,10,0.00,0.000,0.05
205396,10,0.00,0.000,1.67
205501,10,0.00,0.000,1.12
205606,10,0.00,0.000,1.71
205711,10,0.00,0.000,1.34
205816,10,0.00,0.000,2.74
206010,10,0.00,0.000,1.66
206116,10,0.00,0.000,1.80
206221,10,0.00,0.000,1.71
206326,10,0.00,0.000,3.75
206431,10,0.00,0.000,1.94
206626,10,0.00,0.000,2.03
206731,10,0.00,0.000,2.26
206895,10,0.00,0.000,2.46
207031,10,0.00,0.000,2.56
207135,10,0.00,0.000,3.13
207301,10,0.00,0.000,3.85
207406,10,0.00,0.000,2.49
207600,10,0.00,0.000,4.24
207706,10,0.00,0.000,2.66
207811,10,0.00,0.000,3.16
208006,10,0.00,0.000,2.93
208111,10,0.00,0.000,5.93
208306,10,0.00,0.000,2.73
208411,10,0.00,0.000,3.08
208606,10,0.00,0.000,2.76
208711,10,0.00,0.000,3.34
208816,10,0.00,0.000,3.66
209011,10,0.00,0.000,3.58
209116,10,0.00,0.000,3.88
