time_ms,power_pct,weight_g,flow_gps,pressure_bar,clicks_total,clicks_per_s
184720,25.0,0.00,0.000,1.15,0,0.00
185096,25.0,0.00,0.000,1.14,0,0.00
185291,25.0,0.00,0.000,1.13,0,0.00
185396,25.0,0.00,0.000,0.92,1,9.52
185591,25.0,0.00,0.000,1.29,4,15.38
185696,25.0,0.00,0.000,2.17,5,9.52
185801,25.0,0.00,0.000,1.26,7,19.05
185906,25.0,0.00,0.000,0.44,9,19.05
186101,25.0,0.00,0.000,0.00,12,15.38
186311,25.0,1.50,3.125,0.00,15,14.29
186416,25.0,3.00,5.915,0.00,16,9.52
186521,25.0,4.19,7.270,0.00,18,19.05
186701,25.0,5.30,6.994,0.00,21,16.67
186821,25.0,6.10,6.912,0.00,22,8.33
187001,25.0,6.90,6.295,0.00,25,16.67
187121,25.0,7.60,6.180,0.00,27,16.67
187316,25.0,8.39,5.298,0.00,30,15.38
187511,25.0,9.30,5.084,0.00,33,15.38
187616,25.0,10.00,5.480,0.00,34,9.52
187721,25.0,11.20,6.967,0.00,36,19.05
187826,25.0,11.70,6.416,0.00,37,9.52
187931,25.0,12.00,5.526,0.00,39,19.05
188126,25.0,12.40,4.031,0.00,42,15.38
188231,25.0,12.50,3.261,0.00,44,19.05
188336,25.0,12.60,2.684,0.00,45,9.52
188441,25.0,12.70,2.251,0.00,47,19.05
188546,25.0,12.90,2.165,0.00,48,9.52
188741,25.0,13.00,1.456,0.00,51,15.38
188846,25.0,13.10,1.330,0.00,53,19.05
188951,25.0,13.20,1.235,0.00,54,9.52
189116,25.0,13.30,1.078,0.00,57,18.18
189251,25.0,13.50,1.179,0.00,59,14.81
189416,25.0,13.50,0.884,0.15,61,12.12
189521,25.0,13.60,0.901,0.00,63,19.05
189626,25.0,13.90,1.390,0.02,64,9.52
189821,25.0,14.00,1.050,0.09,67,15.38
189926,25.0,14.10,1.025,0.00,69,19.05
190031,25.0,14.00,0.531,0.00,70,9.52
190226,25.0,14.30,0.924,0.15,73,15.38
190331,25.0,14.30,0.693,0.00,75,19.05
190526,25.0,14.60,1.104,0.00,78,15.38
190631,25.0,14.50,0.590,0.00,79,9.52
190826,25.0,14.50,0.332,0.19,82,15.38
190931,25.0,14.70,0.725,0.00,84,19.05
191036,25.0,14.90,1.020,0.00,86,19.05
191231,25.0,14.90,0.603,0.00,88,10.26
191336,25.0,15.30,1.405,0.00,90,19.05
191531,25.0,15.50,1.267,0.00,93,15.38
191636,25.0,15.70,1.426,0.00,95,19.05
191741,25.0,15.70,1.070,0.00,96,9.52
191936,25.0,15.90,1.048,0.00,99,15.38
192041,25.0,16.00,1.024,0.00,101,19.05
192146,25.0,16.10,1.006,0.00,102,9.52
192251,25.0,16.29,1.207,0.00,104,19.05
192356,25.0,16.50,1.405,0.00,105,9.52
192536,25.0,16.79,1.457,0.00,108,16.67
192641,25.0,17.00,1.593,0.00,110,19.05
192761,25.0,17.10,1.403,0.00,111,8.33
192941,25.0,17.40,1.469,0.00,114,16.67
193046,25.0,17.50,1.340,0.00,116,19.05
193151,25.0,17.60,1.243,0.00,117,9.52
193256,25.0,17.79,1.385,0.00,119,19.05
193376,25.0,17.90,1.268,0.00,121,16.67
193556,25.0,18.29,1.492,0.00,123,11.11
193661,25.0,18.50,1.619,0.00,125,19.05
193766,25.0,18.60,1.453,0.00,126,9.52
193871,25.0,18.79,1.542,0.00,128,19.05
194066,25.0,19.10,1.543,0.00,131,15.38
194171,25.0,19.20,1.395,0.00,133,19.05
194276,25.0,19.29,1.261,0.00,134,9.52
194381,25.0,19.40,1.207,0.14,136,19.05
194486,25.0,19.50,1.144,0.00,137,9.52
194681,25.0,19.90,1.536,0.00,140,15.38
194891,25.0,20.20,1.509,0.00,143,14.29
195086,25.0,20.50,1.517,0.00,146,15.38
195191,25.0,20.70,1.614,0.16,148,19.05
195296,25.0,20.90,1.686,0.00,149,9.52
195461,25.0,21.30,1.871,0.00,152,18.18
195566,25.0,21.50,1.879,0.00,153,9.52
195761,25.0,21.80,1.742,0.00,156,15.38
195866,25.0,22.00,1.782,0.00,158,19.05
195971,25.0,22.20,1.813,0.00,160,19.05
196166,25.0,22.50,1.704,0.00,162,10.26
196271,25.0,22.80,1.993,0.00,164,19.05
196481,25.0,23.20,1.954,0.00,167,14.29
196676,25.0,23.40,1.546,0.00,170,15.38
199721,40.0,26.80,1.438,0.00,0,0.00
200096,40.0,26.80,1.079,0.00,0,0.00
200216,40.0,27.00,1.226,0.00,0,0.00
200321,40.0,27.00,0.919,0.00,1,9.52
200516,40.0,27.00,0.517,0.06,5,20.51
200621,40.0,27.00,0.388,0.00,8,28.57
200726,40.0,27.00,0.291,0.90,10,19.05
200831,40.0,27.30,0.932,0.00,13,28.57
200936,40.0,27.50,1.176,0.00,15,19.05
201131,40.0,27.90,1.554,0.00,20,25.64
201236,40.0,28.00,1.404,1.02,22,19.05
201401,40.0,28.20,1.356,0.00,26,24.24
201506,40.0,28.30,1.255,0.51,29,28.57
201641,40.0,28.40,1.126,0.00,32,22.22
201806,40.0,28.50,0.996,0.00,36,24.24
201911,40.0,28.60,0.985,0.00,39,28.57
202106,40.0,28.60,0.554,0.00,43,20.51
202211,40.0,28.90,1.130,0.00,46,28.57
202316,40.0,28.90,0.847,0.00,48,19.05
202511,40.0,29.20,1.161,1.03,53,25.64
202616,40.0,29.40,1.347,0.00,55,19.05
202811,40.0,30.20,2.543,0.00,60,25.64
202916,40.0,30.40,2.384,0.00,63,28.57
203021,40.0,30.60,2.264,0.00,65,19.05
203216,40.0,31.20,2.613,0.00,70,25.64
203321,40.0,31.30,2.198,0.00,72,19.05
203516,40.0,31.90,2.546,0.10,77,25.64
203621,40.0,32.20,2.624,0.00,79,19.05
203726,40.0,32.50,2.682,0.89,82,28.57
203921,40.0,32.90,2.401,0.00,87,25.64
204026,40.0,33.20,2.515,0.00,89,19.05
204131,40.0,33.40,2.363,0.00,92,28.57
204236,40.0,33.80,2.724,0.00,94,19.05
204431,40.0,34.30,2.663,0.00,99,25.64
204641,40.0,34.80,2.540,0.00,104,23.81
204746,40.0,35.09,2.595,0.08,107,28.57
204924,40.0,35.59,2.649,0.00,111,22.47
205031,40.0,35.90,2.711,0.00,113,18.69
205136,40.0,36.09,2.486,0.00,116,28.57
205331,40.0,36.70,2.760,0.00,121,25.64
205436,40.0,37.00,2.784,0.00,123,19.05
205571,40.0,37.30,2.644,0.00,126,22.22
205751,40.0,37.90,2.816,0.40,131,27.78
205931,40.0,38.40,2.765,0.00,135,22.22
206051,40.0,38.70,2.698,0.00,138,25.00
206156,40.0,39.00,2.738,0.00,140,19.05
206261,40.0,39.30,2.768,0.65,143,28.57
206456,40.0,39.90,2.899,0.00,147,20.51
206561,40.0,40.09,2.627,0.00,150,28.57
206666,40.0,40.40,2.708,0.00,153,28.57
206874,40.0,41.00,2.752,0.00,158,24.04
207071,40.0,41.50,2.670,0.00,162,20.30
207174,40.0,41.70,2.488,0.00,165,29.13
207281,40.0,41.80,2.100,0.00,167,18.69
207446,40.0,42.10,2.029,0.00,171,24.24
207581,40.0,42.40,2.078,0.00,175,29.63
207746,40.0,43.00,2.467,0.04,179,24.24
207851,40.0,43.30,2.565,0.00,181,19.05
207956,40.0,43.70,2.876,0.00,183,19.05
208151,40.0,44.30,2.987,0.00,188,25.64
208286,40.0,44.60,2.796,0.00,191,22.22
208451,40.0,45.10,2.854,0.00,195,24.24
208556,40.0,45.40,2.855,0.00,198,28.57
208661,40.0,45.70,2.856,0.00,201,28.57
208856,40.0,46.30,2.916,0.00,205,20.51
208961,40.0,46.60,2.901,0.00,208,28.57
209156,40.0,47.20,2.971,0.00,212,20.51
209261,40.0,47.80,3.657,0.00,215,28.57
209381,40.0,48.10,3.368,0.00,218,25.00
209561,40.0,48.70,3.359,0.00,222,22.22
209666,40.0,49.00,3.234,0.00,225,28.57
209861,40.0,49.50,2.950,0.00,229,20.51
209966,40.0,49.80,2.927,0.00,232,28.57
210071,40.0,50.20,3.147,0.00,234,19.05
210176,40.0,50.40,2.837,0.00,237,28.57
210371,40.0,51.00,2.935,0.00,241,20.51
210581,40.0,51.60,2.901,0.00,247,28.57
210686,40.0,51.80,2.652,0.00,249,19.05
210866,40.0,52.50,3.158,0.00,253,22.22
210986,40.0,52.80,2.994,0.00,256,25.00
211091,40.0,53.10,2.960,0.00,259,28.57
211271,40.0,53.70,3.053,0.00,263,22.22
211376,40.0,54.00,3.004,0.00,265,19.05
211481,40.0,54.30,2.967,0.00,268,28.57
211586,40.0,54.50,2.702,0.00,271,28.57
214722,55.0,60.10,2.580,0.00,0,0.00
215096,55.0,60.10,1.935,0.00,0,0.00
215216,55.0,60.10,1.451,0.00,0,0.00
215396,55.0,60.40,1.441,0.00,4,22.22
215501,55.0,60.30,0.843,0.00,7,28.57
215606,55.0,60.30,0.632,0.00,11,38.10
215801,55.0,61.40,2.915,0.00,17,30.77
215906,55.0,61.50,2.424,0.00,21,38.10
216011,55.0,61.50,1.818,0.00,25,38.10
216206,55.0,61.50,1.023,0.00,31,30.77
216311,55.0,61.50,0.767,0.00,34,28.57
216416,55.0,61.60,0.813,0.00,38,38.10
216521,55.0,61.90,1.324,0.00,41,28.57
216625,55.0,62.00,1.234,0.00,45,38.46
216731,55.0,62.40,1.869,0.00,48,28.30
216911,55.0,63.30,2.651,0.00,54,33.33
217031,55.0,63.70,2.822,0.00,58,33.33
217211,55.0,64.60,3.366,0.09,64,33.33
217316,55.0,65.00,3.477,0.00,67,28.57
217436,55.0,65.50,3.650,0.00,71,33.33
217616,55.0,66.30,3.994,0.00,77,33.33
217721,55.0,66.60,3.710,0.00,81,38.10
217825,55.0,67.10,3.985,0.00,84,28.85
217931,55.0,67.50,3.932,0.00,88,37.74
218036,55.0,67.90,3.901,0.00,91,28.57
218141,55.0,68.40,4.116,0.00,95,38.10
218336,55.0,69.19,4.077,0.07,101,30.77
218441,55.0,69.69,4.249,0.00,105,38.10
218546,55.0,70.00,3.924,0.00,108,28.57
218651,55.0,70.50,4.134,0.00,111,28.57
218771,55.0,70.90,3.934,0.00,115,33.33
218951,55.0,71.80,4.200,0.19,121,33.33
219056,55.0,72.10,3.864,0.00,125,38.10
219161,55.0,72.50,3.851,0.00,128,28.57
219356,55.0,73.30,3.914,0.00,135,35.90
219461,55.0,73.69,3.864,0.00,138,28.57
219566,55.0,74.19,4.088,0.00,142,38.10
219731,55.0,75.10,4.445,0.00,147,30.30
219836,55.0,75.40,4.048,0.00,150,28.57
220031,55.0,76.30,4.274,0.13,157,35.90
220136,55.0,76.69,4.134,0.00,160,28.57
220241,55.0,77.10,4.077,0.00,164,38.10
220451,55.0,77.90,3.960,0.00,171,33.33
220631,55.0,78.69,4.144,0.10,177,33.33
220736,55.0,79.10,4.084,0.00,180,28.57
220841,55.0,79.50,4.016,0.00,183,28.57
220946,55.0,79.90,3.964,0.00,187,38.10
221141,55.0,80.69,3.992,0.00,193,30.77
221246,55.0,81.00,3.732,0.00,197,38.10
221441,55.0,81.69,3.623,0.00,203,30.77
221546,55.0,82.20,3.932,0.00,207,38.10
221651,55.0,82.70,4.139,0.00,210,28.57
221846,55.0,83.60,4.322,0.00,217,35.90
221951,55.0,83.90,3.956,0.00,220,28.57
222146,55.0,84.70,4.011,0.00,227,35.90
222251,55.0,85.50,4.913,0.48,230,28.57
222356,55.0,86.10,5.113,0.94,234,38.10
222461,55.0,86.50,4.787,0.00,237,28.57
222566,55.0,87.00,4.781,0.00,241,38.10
222746,55.0,87.70,4.425,0.00,247,33.33
222851,55.0,88.10,4.271,0.00,250,28.57
222971,55.0,88.60,4.245,1.10,254,33.33
223076,55.0,89.00,4.136,1.04,257,28.57
223256,55.0,89.90,4.352,0.25,263,33.33
223361,55.0,90.20,3.978,0.74,267,38.10
223466,55.0,90.60,3.936,0.00,270,28.57
223661,55.0,91.40,4.000,0.97,277,35.90
223766,55.0,91.80,3.952,0.00,280,28.57
223871,55.0,92.20,3.917,0.00,284,38.10
223976,55.0,92.60,3.890,0.00,287,28.57
224081,55.0,93.10,4.108,1.17,291,38.10
224275,55.0,93.90,4.106,0.00,297,30.93
224381,55.0,94.30,4.023,0.54,301,37.74
224486,55.0,94.70,3.969,0.74,304,28.57
224591,55.0,95.10,3.929,0.00,307,28.57
224786,55.0,96.00,4.234,0.75,314,35.90
224891,55.0,96.40,4.128,1.09,317,28.57
224996,55.0,96.80,4.048,0.00,321,38.10
225116,55.0,97.10,3.661,0.83,325,33.33
225296,55.0,98.00,4.212,0.00,331,33.33
225401,55.0,98.50,4.350,0.58,334,28.57
225506,55.0,98.90,4.215,0.83,337,28.57
225671,55.0,99.80,4.525,0.64,343,36.36
