time_ms,power_pct,weight_g,flow_gps,pressure_bar
188353,30,0.00,0.000,4.20
188816,30,0.00,0.000,4.25
189011,30,0.00,0.000,4.02
189116,30,0.00,0.000,3.36
189221,30,0.00,0.000,2.92
189416,30,0.00,0.000,2.08
189521,30,0.00,0.000,1.77
189716,30,0.00,0.000,1.31
189821,30,0.00,0.000,1.15
189926,30,0.00,0.000,1.02
190136,30,0.20,0.417,0.85
190331,30,0.50,0.919,0.72
190526,30,0.70,0.963,0.64
190631,30,0.80,0.961,0.62
190736,30,0.90,0.959,0.59
190841,30,0.90,0.719,0.60
190946,30,1.10,1.015,0.58
191126,30,1.20,0.900,0.55
191231,30,1.40,1.151,0.54
191351,30,1.40,0.864,0.56
191531,30,1.60,0.925,0.54
191636,30,1.60,0.694,0.54
191741,30,1.90,1.235,0.55
191846,30,1.80,0.688,0.59
192041,30,2.09,1.018,0.58
192146,30,2.09,0.763,0.58
192251,30,2.30,1.073,0.56
192356,30,2.40,1.043,0.62
192551,30,2.60,1.033,0.62
192656,30,2.60,0.775,0.60
192761,30,2.80,1.057,0.58
192866,30,2.90,1.031,0.64
193061,30,3.10,1.026,0.65
193166,30,3.10,0.770,0.64
193271,30,3.40,1.292,0.63
193376,30,3.30,0.731,0.62
193481,30,3.60,1.262,0.72
193676,30,3.80,1.203,0.76
193781,30,3.80,0.902,0.75
193946,30,4.10,1.131,0.76
194051,30,4.10,0.848,0.78
194156,30,4.30,1.113,0.85
194351,30,4.50,1.072,0.89
194456,30,4.60,1.042,0.84
194651,30,4.80,1.036,0.84
194756,30,5.00,1.253,0.91
194861,30,5.00,0.940,0.86
195056,30,5.30,1.183,0.85
195161,30,5.30,0.888,0.86
195356,30,5.60,1.154,0.83
195461,30,5.70,1.104,0.88
195566,30,5.90,1.304,0.85
195761,30,6.00,0.972,0.88
195866,30,6.30,1.443,0.90
195971,30,6.30,1.082,0.85
196166,30,6.50,0.996,0.88
196271,30,6.70,1.223,0.91
196466,30,7.00,1.372,0.91
196571,30,7.00,1.029,0.92
196676,30,7.20,1.248,0.89
196781,30,7.20,0.936,0.95
196886,30,7.40,1.178,0.91
197066,30,7.70,1.357,0.95
197171,30,7.90,1.494,0.93
197306,30,8.10,1.491,0.96
197471,30,8.39,1.558,1.01
197576,30,8.50,1.430,0.96
197681,30,8.60,1.311,1.05
197876,30,8.80,1.184,1.13
197981,30,9.00,1.364,1.08
198086,30,9.10,1.261,1.04
198191,30,9.20,1.184,1.13
198296,30,9.39,1.340,1.07
198491,30,9.60,1.221,1.08
198596,30,9.70,1.154,1.06
198701,30,9.89,1.318,1.19
198806,30,10.00,1.250,1.25
198911,30,10.10,1.176,1.24
199106,30,10.40,1.346,1.22
199211,30,10.50,1.248,1.23
199316,30,10.70,1.412,1.23
199421,30,10.80,1.297,1.17
199616,30,11.10,1.357,1.29
199721,30,11.30,1.494,1.24
199826,30,11.40,1.359,1.31
199991,30,11.60,1.322,1.31
200126,30,11.80,1.362,1.29
200291,30,12.10,1.476,1.33
241354,40,14.10,1.119,2.36
241811,40,14.10,0.839,2.25
241916,40,14.10,0.630,2.19
242021,40,14.10,0.472,1.89
242216,40,14.10,0.354,1.39
242321,40,14.10,0.266,1.22
242486,40,14.10,0.199,1.01
242591,40,14.10,0.149,0.91
242696,40,14.10,0.112,0.83
242891,40,14.10,0.063,0.71
242996,40,14.10,0.047,0.67
243191,40,14.30,0.413,0.61
243296,40,14.50,0.786,0.59
243401,40,14.60,0.828,0.61
243596,40,14.70,0.704,0.57
243701,40,14.90,1.004,0.55
243896,40,15.00,0.803,0.54
244001,40,15.10,0.840,0.53
244106,40,15.20,0.868,0.52
